id,question,intent,chart_type,table,dimension,metric_or_operation,filters,semantic_attributes
383,cursos con etica en la upeu,list,,malla_curricular,,,curso CONTAINS etica,[adventista][institution:UPEU][typo]
384,lista de cursos de nutricion en julaca,list,,silabos,,,programa=Nutricion&sede=Juliaca,[programa:Nutricion][sede:Juliaca][typo]
385,total oras de farmasia,aggregate,,malla_curricular,,SUM(horas_totales),programa=Farmacia,[programa:Farmacia][intent:aggregate][typo]
386,cuantos cursos tienen requisito previo en sistemas,count,,malla_curricular,,COUNT,programa=Sistemas&requisito IS NOT NULL,[programa:Sistemas][filter:requisito][intent:count][typo]
387,dame el perfil de egreso de enfermeria,list,,plan_estudios,perfil_egreso,,programa=Enfermeria,[programa:Enfermeria][intent:list][entity:perfil_egreso]
388,cuantos recuros tene calculo,count,,recurso_aprendizaje,,COUNT,curso=Calculo,[intent:count][typo]
389,grafca de evidensias por estado,chart,pie,sunedu_evidencia_curricular,estado_validacion,COUNT,,[entity:sunedu][intent:chart][typo]
390,cuantos items hay en formatos sunedu,count,,sunedu_formato_item,,COUNT,,[entity:sunedu][intent:count][typo]
391,Cuántos resultados de aprendizaje tiene cada curso de Sistemas,count,bar,silabos,curso,COUNT(ra_unitario),programa=Sistemas,[programa:Sistemas][entity:ra][intent:count]
392,Resultados de aprendizaje de unidad en Enfermería,list,,silabos,ra_unitario,,programa=Enfermeria,[programa:Enfermeria][entity:ra_unitario][intent:list]
393,Cuántos resultados de aprendizaje de sesión hay en Medicina,count,,silabos,,COUNT(ra_sesion),programa=Medicina,[programa:Medicina][entity:ra_sesion][intent:count]
394,Distribución de logros de aprendizaje por ciclo,count,bar,silabos,ciclo,COUNT(ra_unitario),,[entity:ra][dimension:ciclo][intent:count]
395,Cursos con más resultados de aprendizaje por unidad,ranking,horizontal_bar,silabos,curso,COUNT(ra_unitario),,[entity:ra_unitario][intent:ranking]
396,Cuántas unidades tiene cada sílabo de Administración,count,bar,silabos,curso,COUNT(unidad),programa=Administracion,[programa:Administracion][entity:unidad][intent:count]
397,Promedio de unidades por sílabo en Teología,aggregate,,silabos,,AVG(unidad),programa=Teologia,[programa:Teologia][entity:unidad][intent:aggregate]
398,Cuántas sesiones tiene cada unidad de Contabilidad,count,bar,silabos,unidad,COUNT(sesion),programa=Contabilidad,[programa:Contabilidad][entity:sesion][intent:count]
399,Sílabos con aprendizaje autónomo definido en Psicología,list,,silabos,,,programa=Psicologia&aprendizaje_autonomo IS NOT NULL,[programa:Psicologia][entity:aprendizaje_autonomo][intent:list]
400,Distribución de sesiones por curso en Arquitectura,count,bar,silabos,curso,COUNT(sesion),programa=Arquitectura,[programa:Arquitectura][entity:sesion][intent:count]
401,Cuántas competencias generales tiene el plan de Sistemas,count,,plan_estudios,,COUNT(competencias_generales),programa=Sistemas,[programa:Sistemas][entity:competencia][intent:count]
402,Competencias específicas de Enfermería en el plan,list,,plan_estudios,competencias_especificas,,programa=Enfermeria,[programa:Enfermeria][entity:competencia_especifica][intent:list]
403,Cuántas competencias tiene cada plan activo,count,bar,plan_estudios,programa_estudio,COUNT(competencias_generales),estado=activo,[entity:competencia][filter:estado][intent:count]
404,Planes con más competencias específicas en UPEU,ranking,horizontal_bar,plan_estudios,programa_estudio,COUNT(competencias_especificas),,[entity:competencia][intent:ranking][institution:UPEU]
405,Competencias de Teología alineadas al perfil adventista,list,,plan_estudios,competencias_generales,,programa=Teologia,[programa:Teologia][entity:competencia][adventista][intent:list]
406,Cuántos cursos tienen competencia definida en la malla,count,,malla_curricular,,COUNT,competencia IS NOT NULL,[entity:competencia][intent:count]
407,Distribución de competencias por área de formación,count,bar,malla_curricular,area_formacion,COUNT,,[entity:competencia][dimension:area_formacion][intent:count]
408,Perfil de egreso de todos los programas de salud,list,,plan_estudios,perfil_egreso,,facultad=Ciencias de la Salud,[entity:perfil_egreso][facultad:Salud][intent:list]
409,Cuántos objetivos de programa están definidos,count,,plan_estudios,,COUNT,objetivo_programa IS NOT NULL,[entity:objetivo][intent:count]
410,Planes sin perfil de egreso declarado,list,,plan_estudios,,,perfil_egreso IS NULL,[entity:perfil_egreso][intent:list][filter:null]
411,Evidencias del formato C1 por componente en Juliaca,count,bar,sunedu_evidencia_curricular,componente,COUNT,codigo_formato=C1&sede=Juliaca,[entity:sunedu][filter:C1][sede:Juliaca][intent:count]
412,Ítems de C2 aplicables a modalidad semipresencial,list,,sunedu_formato_item,,,codigo_formato=C2&aplica_semipresencial=si,[entity:sunedu][filter:C2][modalidad:semipresencial]
413,Cuántas evidencias validadas hay por facultad en C1,count,bar,sunedu_evidencia_curricular,facultad,COUNT,codigo_formato=C1&estado=validado,[entity:sunedu][filter:C1][dimension:facultad]
414,Requisitos SUNEDU pendientes en Tarapoto,count,bar,sunedu_evidencia_curricular,programa_estudio,COUNT,sede=Tarapoto&estado=pendiente,[entity:sunedu][sede:Tarapoto][filter:estado]
415,Estado de cumplimiento C1 por programa en Ñaña,count,bar,sunedu_evidencia_curricular,programa_estudio,COUNT,codigo_formato=C1&sede=Ñaña,[entity:sunedu][filter:C1][sede:Ñaña]
416,Cuántos ítems de C1 no tienen evidencia en Lima,count,,sunedu_evidencia_curricular,,COUNT,codigo_formato=C1&sede=Lima&estado=sin_evidencia,[entity:sunedu][filter:C1][sede:Lima]
417,Documentos SUNEDU con observación en Sistemas,list,,sunedu_evidencia_curricular,observacion,,programa=Sistemas&observacion IS NOT NULL,[entity:sunedu][programa:Sistemas][filter:observacion]
418,Porcentaje de cumplimiento C2 por sede en UPEU,chart,pie,sunedu_evidencia_curricular,sede,COUNT,codigo_formato=C2,[entity:sunedu][filter:C2][institution:UPEU][intent:chart]
419,Ítems subsanados en C1 por facultad,count,bar,sunedu_evidencia_curricular,facultad,COUNT,codigo_formato=C1&estado=subsanado,[entity:sunedu][filter:C1][dimension:facultad]
420,Comparativa de cumplimiento SUNEDU entre sedes,chart,bar,sunedu_evidencia_curricular,sede,COUNT,estado=validado,[entity:sunedu][comparative][intent:chart][dimension:sede]
421,Cuántos recursos tiene cada unidad de Estadística,count,bar,recurso_aprendizaje,unidad,COUNT,curso=Estadistica,[entity:recurso][entity:unidad][intent:count]
422,Libros de texto obligatorios de Administración,list,,recurso_aprendizaje,,,curso CONTAINS Administracion&obligatorio=si&tipo_recurso=libro,[entity:recurso][filter:obligatorio][programa:Administracion]
423,Recursos digitales por sesión en Metodología,list,,recurso_aprendizaje,,,curso=Metodologia&formato=digital,[entity:recurso][filter:formato][intent:list]
424,Cuántos artículos hay referenciados en Medicina,count,,recurso_aprendizaje,,COUNT,programa=Medicina&tipo_recurso=articulo,[entity:recurso][programa:Medicina][filter:tipo]
425,Distribución de recursos por tipo en Enfermería,count,pie,recurso_aprendizaje,tipo_recurso,COUNT,programa=Enfermeria,[entity:recurso][programa:Enfermeria][intent:chart]
426,Recursos en inglés por programa de Ingeniería,count,bar,recurso_aprendizaje,programa_estudio,COUNT,idioma=ingles&facultad=Ingenieria,[entity:recurso][filter:idioma][facultad:Ingenieria]
427,Cuántos recursos web tiene cada ciclo de Sistemas,count,bar,recurso_aprendizaje,ciclo,COUNT,programa=Sistemas&tipo_recurso=web,[entity:recurso][programa:Sistemas][filter:tipo]
428,Top cursos con más bibliografía registrada,ranking,horizontal_bar,recurso_aprendizaje,curso,COUNT,,[entity:recurso][intent:ranking]
429,Recursos sin autor definido por programa,count,bar,recurso_aprendizaje,programa_estudio,COUNT,autor IS NULL,[entity:recurso][filter:null][intent:count]
430,Recursos de aprendizaje autónomo de Psicología,list,,recurso_aprendizaje,,,programa=Psicologia&tipo_recurso=autonomo,[entity:recurso][programa:Psicologia][filter:tipo]
431,dame cuantos cursos tiene niania,count,,silabos,,COUNT,sede=Ñaña,[sede:Ñaña][intent:count][conversational]
432,muéstrame los planes de salud en upeu,list,,plan_estudios,,,facultad=Ciencias de la Salud,[facultad:Salud][institution:UPEU][conversational]
433,necesito saber cuántos sílabos hay en teología,count,,silabos,,COUNT,facultad=Teologia,[facultad:Teologia][intent:count][conversational]
434,quiero ver la malla de enfermería,list,,malla_curricular,,,programa=Enfermeria,[programa:Enfermeria][intent:list][conversational]
435,puedes mostrarme los recursos de contabilidad,list,,recurso_aprendizaje,,,programa=Contabilidad,[programa:Contabilidad][intent:list][conversational]
436,necesito el ranking de programas con más cursos,ranking,horizontal_bar,silabos,programa_estudio,COUNT,,[intent:ranking][conversational]
437,me puedes hacer un gráfico de las sedes,chart,bar,silabos,sede,COUNT,,[intent:chart][conversational]
438,quisiera saber las evidencias pendientes de c1,list,,sunedu_evidencia_curricular,,,codigo_formato=C1&estado=pendiente,[entity:sunedu][filter:C1][conversational]
439,por favor dame el total de créditos de medicina,aggregate,,plan_estudios,,SUM(total_creditos),programa=Medicina,[programa:Medicina][intent:aggregate][conversational]
440,ayúdame a ver cuántos cursos tiene psicología,count,,silabos,,COUNT,programa=Psicologia,[programa:Psicologia][intent:count][conversational]
441,Cuántos cursos de Sistemas requieren Cálculo como prerrequisito,count,,malla_curricular,,COUNT,programa=Sistemas&requisito_nombre_curso CONTAINS Calculo,[programa:Sistemas][filter:requisito][intent:count]
442,Lista de prerrequisitos del ciclo 4 de Ingeniería Civil,list,,malla_curricular,requisito_nombre_curso,,programa=Civil&ciclo=4,[programa:Civil][ciclo:4][filter:requisito]
443,Cuántos cursos de Enfermería son prerrequisito de otro,count,,malla_curricular,,COUNT(DISTINCT requisito_codigo_curso),programa=Enfermeria,[programa:Enfermeria][filter:requisito][intent:count]
444,Distribución de prerrequisitos por ciclo en Ingeniería Civil,count,bar,malla_curricular,ciclo,COUNT,programa=Civil&requisito IS NOT NULL,[programa:Civil][filter:requisito][dimension:ciclo]
445,Cursos sin ningún prerrequisito en Administración,count,,malla_curricular,,COUNT,programa=Administracion&requisito IS NULL,[programa:Administracion][filter:requisito][intent:count]
446,Cuántos créditos acumula el ciclo 5 de Sistemas,aggregate,,malla_curricular,,SUM(creditos),programa=Sistemas&ciclo=5,[programa:Sistemas][ciclo:5][metric:creditos]
447,Cursos del ciclo 8 de Enfermería con laboratorio,list,,malla_curricular,,,programa=Enfermeria&ciclo=8&horas_laboratorio > 0,[programa:Enfermeria][ciclo:8][filter:laboratorio]
448,Total de horas del ciclo 10 de Ingeniería de Sistemas,aggregate,,malla_curricular,,SUM(horas_totales),programa=Sistemas&ciclo=10,[programa:Sistemas][ciclo:10][metric:horas]
449,Cuántos cursos obligatorios tiene el ciclo 2 de Medicina,count,,malla_curricular,,COUNT,programa=Medicina&ciclo=2&tipo_curso=obligatorio,[programa:Medicina][ciclo:2][filter:tipo_curso]
450,Distribución de créditos por ciclo en toda la UPEU,aggregate,bar,malla_curricular,ciclo,AVG(creditos),,[institution:UPEU][dimension:ciclo][metric:creditos][intent:aggregate]
451,Cuántos planes de estudio usa el formato SUNEDU C1,count,,sunedu_evidencia_curricular,,COUNT(DISTINCT id_plan),codigo_formato=C1,[entity:sunedu][filter:C1][entity:plan][intent:count]
452,Cuántos ítems de C1 están en el componente curricular,count,,sunedu_formato_item,,COUNT,codigo_formato=C1&componente=curricular,[entity:sunedu][filter:C1][filter:componente]
453,Cuántos ítems de C1 aplican a pregrado y posgrado,count,,sunedu_formato_item,,COUNT,codigo_formato=C1&aplica_pregrado=si&aplica_posgrado=si,[entity:sunedu][filter:C1][nivel:multiple]
454,Estado de validación de evidencias en Ingeniería,count,bar,sunedu_evidencia_curricular,estado_validacion,COUNT,facultad=Ingenieria,[entity:sunedu][facultad:Ingenieria][dimension:estado]
455,Cuántas evidencias tienen valor numérico registrado,count,,sunedu_evidencia_curricular,,COUNT,valor_numero IS NOT NULL,[entity:sunedu][filter:valor][intent:count]
456,Ítems SUNEDU por grupo en formato C2,count,bar,sunedu_formato_item,grupo,COUNT,codigo_formato=C2,[entity:sunedu][filter:C2][dimension:grupo]
457,Cuántos ítems son optativos en C1,count,,sunedu_formato_item,,COUNT,codigo_formato=C1&obligatorio=no,[entity:sunedu][filter:C1][filter:obligatorio]
458,Mapa de calor de evidencias por facultad y estado,chart,heatmap,sunedu_evidencia_curricular,facultad-estado_validacion,COUNT,,[entity:sunedu][intent:chart][chart:heatmap]
459,Cuántos programas de Ingeniería tienen evidencias en C1,count,,sunedu_evidencia_curricular,,COUNT(DISTINCT programa_estudio),facultad=Ingenieria&codigo_formato=C1,[entity:sunedu][facultad:Ingenieria][filter:C1]
460,Ranking de programas con más evidencias validadas,ranking,horizontal_bar,sunedu_evidencia_curricular,programa_estudio,COUNT,estado=validado,[entity:sunedu][intent:ranking][filter:estado]
461,Cuántos cursos de Ingeniería de Sistemas tienen laboratorio,count,,malla_curricular,,COUNT,programa=Sistemas&horas_laboratorio > 0,[programa:Sistemas][metric:horas_laboratorio][intent:count]
462,Promedio de horas de laboratorio en Farmacia,aggregate,,malla_curricular,,AVG(horas_laboratorio),programa=Farmacia,[programa:Farmacia][metric:horas_laboratorio][intent:aggregate]
463,Cursos con más horas de laboratorio en Medicina,ranking,horizontal_bar,malla_curricular,curso,MAX(horas_laboratorio),programa=Medicina,[programa:Medicina][metric:horas_laboratorio][intent:ranking]
464,Distribución de horas de laboratorio por ciclo en Química,aggregate,bar,malla_curricular,ciclo,SUM(horas_laboratorio),programa=Quimica,[programa:Quimica][metric:horas_laboratorio][dimension:ciclo]
465,Cuántos cursos tienen más horas prácticas que teóricas,count,,malla_curricular,,COUNT,horas_practicas > horas_teoricas,[metric:horas][comparative][intent:count]
466,Cursos con carga horaria mayor a 5 horas semanales,list,,malla_curricular,,,horas_totales > 5,[metric:horas_totales][filter:range][intent:list]
467,Distribución de horas totales por modalidad,aggregate,bar,malla_curricular,modalidad_estudio,AVG(horas_totales),,[metric:horas_totales][dimension:modalidad][intent:aggregate]
468,Cursos con 4 o más créditos en Sistemas,list,,malla_curricular,,,programa=Sistemas&creditos >= 4,[programa:Sistemas][metric:creditos][filter:range][intent:list]
469,Total de horas por tipo de curso en UPEU,aggregate,bar,malla_curricular,tipo_curso,SUM(horas_totales),,[institution:UPEU][metric:horas][dimension:tipo_curso][intent:aggregate]
470,Cursos con más créditos que el promedio de su ciclo,list,,malla_curricular,,,creditos > AVG(creditos) por ciclo,[metric:creditos][comparative][intent:list]
471,Cuántos sílabos tienen más de 3 unidades definidas,count,,silabos,,COUNT,unidades > 3,[entity:unidad][filter:range][intent:count]
472,Cursos con más de 16 sesiones en el ciclo,list,,silabos,,,sesion > 16,[entity:sesion][filter:range][intent:list]
473,Promedio de sesiones por unidad en Sistemas,aggregate,,silabos,,AVG(sesion),programa=Sistemas,[programa:Sistemas][entity:sesion][intent:aggregate]
474,Cursos con resultado de aprendizaje de asignatura definido,count,,silabos,,COUNT,ra_unitario IS NOT NULL,[entity:ra][filter:null][intent:count]
475,Distribución de unidades por programa en salud,count,bar,silabos,programa_estudio,AVG(unidad),facultad=Ciencias de la Salud,[facultad:Salud][entity:unidad][intent:count]
476,Cuántos sílabos tienen enlaces de internet registrados,count,,silabos,,COUNT,enlaces_internet IS NOT NULL,[entity:enlace][filter:null][intent:count]
477,Distribución de sílabos con sumilla definida por programa,count,bar,silabos,programa_estudio,COUNT,sumilla IS NOT NULL,[entity:sumilla][filter:null][intent:count]
478,Cursos sin sumilla en la malla de Juliaca,list,,silabos,,,sumilla IS NULL&sede=Juliaca,[entity:sumilla][sede:Juliaca][filter:null][intent:list]
